app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Shopify POS,App Store,Brinno,4,2017-12-09T17:50:42-07:00,So handy for market businesses,"We use this app to track sales at our market. It's great because it keeps our stock up to date on the website instantly. Easy to use and immediately updates in Shopify reports etc.

Two requests:

1) can you create a location prompt when opening the app (at least at start of day), I have staff that forget to swap locations and then the reports don't match. 
Or a way to change location in order if it's entered incorrectly?

2)when is the Shopify POS payments mobile swipe machine going to be available in Australia?

Thank you.",,4.1.5,,1,
Shopify POS,App Store,Yolo Aussie,3,2017-06-03T20:52:45-07:00,It's ok,Would be nice to link with credit cards for payments .,,3.12.2,,,
Shopify POS,App Store,Bhoem,5,2016-03-31T23:50:05-07:00,Ms,"Love this app, I'm in Australia and use an external eftpos provider.",,3.6.6,,,
Shopify POS,App Store,Meowyyyy12344,1,2016-03-31T02:41:51-07:00,Can't accept payments without card reader,Not worth it- doesn't work with Australian businesses,,3.6.6,,,
Shopify POS,App Store,Adtyh,1,2016-01-12T17:34:07-07:00,Mr,Horrible- freezes constantly and needs rest all the time. Get it fixed,,3.6,,,
Shopify POS,App Store,Hannahgorg,1,2014-10-09T05:08:26-07:00,Orders tab not suitable for multiple locations,"This app has one major flaw for companies that have more than one physical location.

Currently if a sale is made in ""store 1"" the staff in ""store 2"" can see the sale in the ""orders"" tab. In fact they can see every sale your entire business makes. I do not want my staff to know my turnover figures. It can also discourage staff from trying if they can see another store is hitting the targets for them.

Perhaps a ""show only orders from this ipad"" in the location setting. Or an option to limit the ""POS only"" staff to only seeing orders from the iPads location.",,2.1.2,,,
Shopify POS,App Store,Rweetbix,5,2013-09-11T19:42:21-07:00,Fantastic worked straight away,"This is a great app, easy to setup and use.  It'll be great when Laybys are allowed.",,1.0.3,,,
Square POS,App Store,Pnwgal318,3,2026-02-23T16:00:29-07:00,Poor Customer service,"The app itself is ok, not the best layout. I’ve had to use the how to forms and google to set up much of my dashboard because of the lack of intuitiveness in the site. I have been trying to get what should be a pretty simple issue on the IT side fixed but have been transferred 3 times to “specialist customer support teams.” It has waisted over 30 minutes of my time.",,6.96,,,
Square POS,App Store,Miljan.,1,2026-02-23T14:17:23-07:00,Account verification,"This is the most ridiculous experience to verify one account.
My money its being stuck in app for more then a month, and customer service its the worst on helping and fixing solution.",,6.94.1,,,
Square POS,App Store,TsigieReda,5,2026-02-21T10:53:04-07:00,Great,It’s very convenient and efficient for my lively hood. Thanks.,,6.94.1,,,
